script_id,audio_type,audio_file,reference,hypothesis,wer,keyword_accuracy
script_14,slight_noise,script_14_slight_noise.mp3,"You mentioned you have offices in three cities? Yes, Berlin, Hamburg, and München. Do your sales reps work across sites or are they based locally? Each city has its own team. About 15 reps each. So we're talking about 45 seats total. I can offer a multi-site enterprise plan. Send me the details and I'll loop in our procurement team.","You mentioned you have offices in three cities? Yes, Berlin, Hamburg and München. Do your sales reps work across sites or are they based locally? Each city has its own team, about 15 reps each. So we're talking about 45 seats total. I can offer a multi-site enterprise plan. Send me the details and I'll loop in our procurement team.",0.0333,1.0
script_15,heavy_noise,script_15_heavy_noise.mp3,You saw the demo last week. What did your team think? They liked the voice logging but weren't sure about the CRM integration with our system. Which CRM are you using? HubSpot. We have a native HubSpot integration. I'll set up a technical call with our engineer.,You saw the demo last week. What did your team think? They liked the voice logging but weren't sure about the CRM integration with our system. Which CRM are you using? HubSpot. We have a native HubSpot integration. I'll set up a technical call with our engineer.,0.0,1.0
script_15,slight_noise,script_15_slight_noise.mp3,You saw the demo last week. What did your team think? They liked the voice logging but weren't sure about the CRM integration with our system. Which CRM are you using? HubSpot. We have a native HubSpot integration. I'll set up a technical call with our engineer.,"You saw the demo last week. What did your team think? They liked the voice logging, but weren't sure about the CRM integration with our system. Which CRM are you using? HubSpot. We have a native HubSpot integration. I'll set up a technical call with our engineer.",0.0213,1.0
script_16,heavy_noise,script_16_heavy_noise.mp3,I know Q4 is busy for your team. Would it make sense to onboard in January instead? Honestly yes. December is terrible for us. Let's lock in January 8th as the kickoff date then. I'll hold the slot. Perfect. Send me a calendar invite.,"I know Q4 is busy for your team. Would it make sense to onboard in January instead? Honestly, yes. December is terrible for us. Let's lock in January 8th as the kickoff date then. I'll hold the slot. Perfect. Send me a calendar invite.",0.0227,1.0
script_16,slight_noise,script_16_slight_noise.mp3,I know Q4 is busy for your team. Would it make sense to onboard in January instead? Honestly yes. December is terrible for us. Let's lock in January 8th as the kickoff date then. I'll hold the slot. Perfect. Send me a calendar invite.,I know Q4 is busy for your team. Would it make sense to onboard in January instead? Honestly yes. December is terrible for us. Let's lock in January 8th as the kickoff date then. I'll hold the slot. Perfect. Send me a calendar invite.,0.0,1.0
script_17,heavy_noise,script_17_heavy_noise.mp3,Would it help to speak with one of our existing customers in your industry? Actually yes. Do you have anyone in logistics? We have two clients in logistics. I'll ask if one of them is open to a reference call. That would be very helpful. I'll come back to you by Friday with a contact.,Would it help to speak with one of our existing customers in your industry? We have two clients in the business. I'll ask if one of them is open to a reference call. I'll come back to you by Friday for the content.,0.3273,0.75
script_17,slight_noise,script_17_slight_noise.mp3,Would it help to speak with one of our existing customers in your industry? Actually yes. Do you have anyone in logistics? We have two clients in logistics. I'll ask if one of them is open to a reference call. That would be very helpful. I'll come back to you by Friday with a contact.,"Would it help to speak with one of our existing customers in your industry? Actually, yes. Do you have anyone in logistics? We have two clients in logistics. I'll ask if one of them is open to a reference call. That would be very helpful. I'll come back to you by Friday with a contact.",0.0182,1.0
script_18,heavy_noise,script_18_heavy_noise.mp3,"Any feedback from the team after month one? Overall positive. One thing, can the summary be exported directly to PDF? Not currently but that's been requested before. I'll log it as a feature request. Also, can we customize the fields in the visit report? Custom fields are on our roadmap for Q2. I'll add you to the beta list.","Any feedback from the team after month one? Overall positive. One thing, can the summary be exported directly to PDF? Not currently, but that's been requested before. I'll log it as a feature request. Also, can we customize the fields in the visit report? Custom fields are on our roadmap for Q2. I'll add you to the beta list.",0.0169,0.8
script_18,slight_noise,script_18_slight_noise.mp3,"Any feedback from the team after month one? Overall positive. One thing, can the summary be exported directly to PDF? Not currently but that's been requested before. I'll log it as a feature request. Also, can we customize the fields in the visit report? Custom fields are on our roadmap for Q2. I'll add you to the beta list.","Any feedback from the team after month one? Overall positive. One thing, can the summary be exported directly to PDF? Not currently, but that's been requested before. I'll log it as a feature request. Also, can we customize the fields in the visit report? Custom fields are on our roadmap for Q2. I'll add you to the beta list.",0.0169,0.8
script_19,heavy_noise,script_19_heavy_noise.mp3,"Any update on the budget approval? Still waiting. Finance meets next Thursday. Understood. Should I follow up with you on Friday then? Yes, Friday afternoon is good. I'll also send a one-page summary you can share with the finance team.","Any update on the budget approval? Still waiting. Finance meets next Thursday. Understood. Should I follow up with you on Friday then? Yes, Friday afternoon is good. I'll also send a one page summary you can share with the finance team.",0.05,0.8
script_19,slight_noise,script_19_slight_noise.mp3,"Any update on the budget approval? Still waiting. Finance meets next Thursday. Understood. Should I follow up with you on Friday then? Yes, Friday afternoon is good. I'll also send a one-page summary you can share with the finance team.","Any update on the budget approval? Still waiting. Finance meets next Thursday. Understood. Should I follow up with you on Friday then? Yes, Friday afternoon is good. I'll also send a one-page summary you can share with the finance team.",0.0,1.0
script_1,heavy_noise,script_1_heavy_noise.mp3,"Good morning, I'm here to follow up on our proposal from last week. Yes, come in. We had a chance to review it. Great. Any questions on the pricing structure? Not really. We'd like to move forward with the starter package. Perfect. I'll send the contract by Thursday. We can onboard you by end of month. That works for us.","Good morning. I'm here to follow up on our proposal from last week. Yes, come in. We had a chance to review it. Great. Any questions on the pricing structure? Not really. We'd like to move forward with the starter package. Perfect. I'll send the contract by Thursday. We can onboard you by end of month. That works for us.",0.0167,1.0
script_1,slight_noise,script_1_slight_noise.mp3,"Good morning, I'm here to follow up on our proposal from last week. Yes, come in. We had a chance to review it. Great. Any questions on the pricing structure? Not really. We'd like to move forward with the starter package. Perfect. I'll send the contract by Thursday. We can onboard you by end of month. That works for us.","Good morning. I'm here to follow up on our proposal from last week. Yes, come in. We had a chance to review it. Great. Any questions on the pricing structure? Not really. We'd like to move forward with the starter package. Perfect. I'll send the contract by Thursday. We can onboard you by end of month. That works for us.",0.0167,1.0
script_20,heavy_noise,script_20_heavy_noise.mp3,"I know you're about to head out. I'll keep this quick. Yes sorry, I have a call in five minutes. No problem. Just wanted to confirm you received the updated pricing. I did, looks good. Let's talk properly on Wednesday. Wednesday it is. I'll send a meeting link.","I know you're about to head out. I'll keep this quick. Yes, sorry. I have a call in five minutes. No problem. Just wanted to confirm you received the updated pricing. I did. Looks good. Let's talk properly on Wednesday. Wednesday it is. I'll send a meeting link.",0.0625,1.0
script_20,slight_noise,script_20_slight_noise.mp3,"I know you're about to head out. I'll keep this quick. Yes sorry, I have a call in five minutes. No problem. Just wanted to confirm you received the updated pricing. I did, looks good. Let's talk properly on Wednesday. Wednesday it is. I'll send a meeting link.","I know you're about to head out. I'll keep this quick. Yes, sorry. I have a call in five minutes. No problem. Just wanted to confirm you received the updated pricing. I did. Looks good. Let's talk properly on Wednesday. Wednesday it is. I'll send a meeting link.",0.0625,1.0
script_2,heavy_noise,script_2_heavy_noise.mp3,"So based on your team size, I'd recommend the professional plan at 400 euros per month. That's more than we expected, honestly. I understand. What budget range were you thinking? Somewhere around 250. Let me check if we can offer a quarterly discount. I'll come back to you by Wednesday.","So based on your team size, I'd recommend the professional plan at 400 euros per month. That's more than we expected, honestly. I understand. What budget range were you thinking? Somewhere around 250. Let me check if we can offer a quarterly discount. I'll come back to you by Wednesday.",0.0,1.0
script_2,slight_noise,script_2_slight_noise.mp3,"So based on your team size, I'd recommend the professional plan at 400 euros per month. That's more than we expected, honestly. I understand. What budget range were you thinking? Somewhere around 250. Let me check if we can offer a quarterly discount. I'll come back to you by Wednesday.","So based on your team size, I'd recommend the professional plan at 400 euros per month. That's more than we expected, honestly. I understand. What budget range were you thinking? Somewhere around 250. Let me check if we can offer a quarterly discount. I'll come back to you by Wednesday.",0.0,1.0
script_3,heavy_noise,script_3_heavy_noise.mp3,"I wanted to discuss the integration options with your team today. Unfortunately our IT lead couldn't make it. He's out until next week. No problem. Can we schedule a call for Monday with him included? Yes, Monday at 10 should work.","I wanted to discuss the integration options with your team today. Unfortunately, our IT lead couldn't make it. He's out until next week. No problem. Can we schedule a call for Monday with him included? Yes, Monday at 10 should work.",0.0244,1.0
script_3,slight_noise,script_3_slight_noise.mp3,"I wanted to discuss the integration options with your team today. Unfortunately our IT lead couldn't make it. He's out until next week. No problem. Can we schedule a call for Monday with him included? Yes, Monday at 10 should work.","I wanted to discuss the integration options with your team today. Unfortunately, our IT lead couldn't make it. He's out until next week. No problem. Can we schedule a call for Monday with him included? Yes, Monday at 10 should work.",0.0244,1.0
script_4,heavy_noise,script_4_heavy_noise.mp3,"How has your current solution been working for you? It's okay. We're also looking at what Salesforce offers. Fair enough. Our advantage is the voice-first workflow, no manual data entry after visits. That does sound interesting. Can you show me a demo? Absolutely. I'll set up a live demo for next Tuesday.",How has your current solution been working for you? It's okay. We're also looking at what Salesforce offers. Fair enough. Our advantage is the voice first workflow. No manual data entry after visits. That does sound interesting. Can you show me a demo? Absolutely. I'll set up a live demo for next Tuesday.,0.0577,0.8
script_4,slight_noise,script_4_slight_noise.mp3,"How has your current solution been working for you? It's okay. We're also looking at what Salesforce offers. Fair enough. Our advantage is the voice-first workflow, no manual data entry after visits. That does sound interesting. Can you show me a demo? Absolutely. I'll set up a live demo for next Tuesday.",How has your current solution been working for you? It's okay. We're also looking at what Salesforce offers. Fair enough. Our advantage is the voice-first workflow. No manual data entry after visits. That does sound interesting. Can you show me a demo? Absolutely. I'll set up a live demo for next Tuesday.,0.0192,1.0
script_5,heavy_noise,script_5_heavy_noise.mp3,"You've been on the trial for two weeks now. How's it going? The team likes it but we had some issues with the mobile app crashing. I'll escalate that to our technical team today. Have you been using the voice logging feature? Not yet, we haven't had training on it. I'll arrange a 30-minute onboarding session for your team this week.","You've been on the trial for two weeks now. How's it going? The team likes it, but we had some issues with the mobile app crashing. I'll escalate that to our technical team today. Have you been using the voice logging feature? Not yet. We haven't had training on it. I'll arrange a 30-minute onboarding session for your team this week.",0.0328,0.8
script_5,slight_noise,script_5_slight_noise.mp3,"You've been on the trial for two weeks now. How's it going? The team likes it but we had some issues with the mobile app crashing. I'll escalate that to our technical team today. Have you been using the voice logging feature? Not yet, we haven't had training on it. I'll arrange a 30-minute onboarding session for your team this week.","You've been on the trial for two weeks now. How's it going? The team likes it, but we had some issues with the mobile app crashing. I'll escalate that to our technical team today. Have you been using the voice logging feature? Not yet. We haven't had training on it. I'll arrange a 30 minute onboarding session for your team this week.",0.0656,0.8
script_6,heavy_noise,script_6_heavy_noise.mp3,"Hi, I know this is unannounced but I work with field sales teams in this area. Do you have five minutes? Sure, why not. We help sales reps log customer visits automatically using voice. No typing, no forms. Interesting. Our reps spend a lot of time on admin after visits. Exactly the problem we solve. Can I send you some materials? Yes, send it to my email, m.hoffman at bauer-gruppe dot de.","Hi, I know this is unannounced, but I work with field sales teams in this area. Do you have five minutes? Sure, why not? We help sales reps log customer visits automatically using voice. No typing, no forms. Interesting. Our reps spend a lot of time on admin after visits. Exactly the problem we solve. Can I send you some materials? Yes, send it to my email. mhoffman at bauergrupe.de",0.0972,0.8
script_6,slight_noise,script_6_slight_noise.mp3,"Hi, I know this is unannounced but I work with field sales teams in this area. Do you have five minutes? Sure, why not. We help sales reps log customer visits automatically using voice. No typing, no forms. Interesting. Our reps spend a lot of time on admin after visits. Exactly the problem we solve. Can I send you some materials? Yes, send it to my email, m.hoffman at bauer-gruppe dot de.","Hi, I know this is unannounced, but I work with field sales teams in this area. Do you have five minutes? Sure, why not? We help sales reps log customer visits automatically using voice. No typing, no forms. Interesting. Our reps spend a lot of time on admin after visits. Exactly the problem we solve. Can I send you some materials? Yes, send it to my email. mhoffman at bauergrupper.de",0.0972,0.8
script_7,heavy_noise,script_7_heavy_noise.mp3,"Your annual contract is up in six weeks. Have you thought about renewal? We have, yes. We're happy overall but want to add two more user seats. That's easy to do. I can add seats to the renewal quote. Also, is there any loyalty discount? For two-year renewals we offer 15 percent. I'll include both options in the quote.","Your annual contract is up in six weeks. Have you thought about renewal? We have, yes. We're happy overall, but want to add two more user seats. That's easy to do. I can add seats to the renewal quota. Also, is there any warranty to say? For two-year renewals, we offer 15%. I'll include both options in the quota.",0.1525,0.4
script_7,slight_noise,script_7_slight_noise.mp3,"Your annual contract is up in six weeks. Have you thought about renewal? We have, yes. We're happy overall but want to add two more user seats. That's easy to do. I can add seats to the renewal quote. Also, is there any loyalty discount? For two-year renewals we offer 15 percent. I'll include both options in the quote.","Your annual contract is up in six weeks. Have you thought about renewal? We have, yes. We're happy overall, but want to add two more user seats. That's easy to do. I can add seats to the renewal quote. Also, is there any loyalty discount? For two-year renewals, we offer 15%. I'll include both options in the quote.",0.0678,0.6
script_8,heavy_noise,script_8_heavy_noise.mp3,"Ready to proceed with the rollout? Almost. Our data team has questions about GDPR compliance and where data is stored. All data is stored on EU servers. I can send our compliance documentation. Please do. Also, do you have an ISO certification? We're ISO 27001 in progress. Expected Q3. I'll send what we have now.","Ready to proceed with the rollout? Almost. Our data team has questions about GDPR compliance and their data is stored. All data is stored on EU servers. I can send our compliance documentation. Please do. Also, do you have an ISO certification? We're ISO 27001 in progress. Expected Q3. I'll send what we have now.",0.0182,1.0
script_8,slight_noise,script_8_slight_noise.mp3,"Ready to proceed with the rollout? Almost. Our data team has questions about GDPR compliance and where data is stored. All data is stored on EU servers. I can send our compliance documentation. Please do. Also, do you have an ISO certification? We're ISO 27001 in progress. Expected Q3. I'll send what we have now.","Ready to proceed with the rollout? Almost. Our data team has questions about GDPR compliance and where data is stored. All data is stored on EU servers. I can send our compliance documentation. Please do. Also, do you have an ISO certification? We're ISO 27001 in progress. Expected Q3. I'll send what we have now.",0.0,1.0
script_9,heavy_noise,script_9_heavy_noise.mp3,"I wanted to check in after the issues last month. Honestly, we were quite frustrated. The system was down for two days. I completely understand and I apologize. That's been fixed and we've added redundancy. We need guarantees this won't happen again before we consider expanding. Fair. I'll send an updated SLA with uptime guarantees by end of week.","I wanted to check in after the issues last month. Honestly, we were quite frustrated. The system was down for two days. I completely understand, and I apologize. That's been fixed, and we've added redundancy. We need guarantees this won't happen again before we consider expanding. Fair. I'll send an updated SLA with uptime guarantees by end of week.",0.0339,0.8
