script_id,audio_type,audio_file,deal_status_correct,sentiment_correct,follow_up_date_correct,client_concern_correct,action_items_accuracy,overall_accuracy,predicted,ground_truth
script_1,clean,script_1_clean.mp3,1,1,1,1,1.0,1.0,"{""deal_status"": ""closed_won"", ""sentiment"": ""positive"", ""action_items"": [""Send contract by Thursday"", ""Onboard client by end of month""], ""follow_up_date"": ""Thursday"", ""client_concern"": null}","{""deal_status"": ""closed_won"", ""sentiment"": ""positive"", ""follow_up_date"": ""Thursday"", ""client_concern"": null, ""action_items"": [""Send contract by Thursday"", ""Onboard client by end of month""]}"
script_20,clean,script_20_clean.mp3,1,0,1,1,1.0,0.8,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Send meeting link""], ""follow_up_date"": ""Wednesday"", ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": ""Wednesday"", ""client_concern"": null, ""action_items"": [""Send meeting link for Wednesday""]}"
script_2,clean,script_2_clean.mp3,1,1,1,0,1.0,0.8,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Check if quarterly discount is possible"", ""Follow up by Wednesday with discount proposal""], ""follow_up_date"": ""Wednesday"", ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""follow_up_date"": ""Wednesday"", ""client_concern"": ""price"", ""action_items"": [""Check if quarterly discount is possible"", ""Follow up by Wednesday with discount proposal""]}"
script_3,clean,script_3_clean.mp3,1,1,1,0,0.0,0.6,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Schedule a call for Monday at 10 with IT lead""], ""follow_up_date"": ""Monday at 10"", ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""follow_up_date"": ""Monday 10:00"", ""client_concern"": ""missing_decision_maker"", ""action_items"": [""Reschedule meeting to Monday 10am"", ""Include IT lead in next meeting""]}"
script_4,clean,script_4_clean.mp3,1,1,1,0,1.0,0.8,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Set up live demo for next Tuesday""], ""follow_up_date"": ""next Tuesday"", ""client_concern"": ""trust_validation""}","{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""follow_up_date"": ""Tuesday"", ""client_concern"": ""competitor"", ""action_items"": [""Schedule live demo for Tuesday""]}"
script_5,clean,script_5_clean.mp3,1,0,0,1,1.0,0.6,"{""deal_status"": ""in_progress"", ""sentiment"": ""negative"", ""action_items"": [""Escalate mobile app issue to technical team"", ""Arrange 30 minute onboarding session for client's team this week""], ""follow_up_date"": null, ""client_concern"": ""technical_issue""}","{""deal_status"": ""in_progress"", ""sentiment"": ""mixed"", ""follow_up_date"": ""this week"", ""client_concern"": ""technical_issue"", ""action_items"": [""Escalate app crash issue to technical team today"", ""Arrange 30-minute onboarding session this week""]}"
script_6,clean,script_6_clean.mp3,1,0,1,1,1.0,0.8,"{""deal_status"": ""new_lead"", ""sentiment"": ""neutral"", ""action_items"": [""Send materials to mhoffman@bauergruppen.de""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""new_lead"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": null, ""action_items"": [""Send product materials to m.hoffman@bauer-gruppe.de""]}"
script_7,clean,script_7_clean.mp3,0,1,1,0,0.5,0.5,"{""deal_status"": ""upsell"", ""sentiment"": ""positive"", ""action_items"": [""Add two user seats to renewal quote"", ""Include loyalty discount for 15% on 2-year renewals""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""renewal"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": ""pricing"", ""action_items"": [""Add 2 extra seats to renewal quote"", ""Send 1-year and 2-year renewal options with loyalty discount""]}"
script_8,clean,script_8_clean.mp3,1,1,1,1,0.5,0.9,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Send compliance documentation"", ""Provide ISO certification documentation""], ""follow_up_date"": null, ""client_concern"": ""gdpr_compliance""}","{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""follow_up_date"": null, ""client_concern"": ""gdpr_compliance"", ""action_items"": [""Send GDPR compliance documentation"", ""Share current ISO 27001 status""]}"
script_9,clean,script_9_clean.mp3,0,1,1,0,1.0,0.6,"{""deal_status"": ""in_progress"", ""sentiment"": ""negative"", ""action_items"": [""Send updated SLA with uptime guarantees by end of week""], ""follow_up_date"": ""end of week"", ""client_concern"": ""technical_issue""}","{""deal_status"": ""at_risk"", ""sentiment"": ""negative"", ""follow_up_date"": ""end of week"", ""client_concern"": ""reliability"", ""action_items"": [""Send updated SLA with uptime guarantees by end of week""]}"
script_10,heavy_noise,script_10_heavy_noise.mp3,0,0,1,0,1.0,0.4,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Send a comparison sheet""], ""follow_up_date"": null, ""client_concern"": ""price""}","{""deal_status"": ""upsell"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": ""pricing"", ""action_items"": [""Send pricing comparison sheet for team scaling package""]}"
script_10,slight_noise,script_10_slight_noise.mp3,0,0,1,0,1.0,0.4,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Send comparison sheet""], ""follow_up_date"": null, ""client_concern"": ""price""}","{""deal_status"": ""upsell"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": ""pricing"", ""action_items"": [""Send pricing comparison sheet for team scaling package""]}"
script_11,heavy_noise,script_11_heavy_noise.mp3,1,1,1,1,1.0,1.0,"{""deal_status"": ""closed_lost"", ""sentiment"": ""neutral"", ""action_items"": [""Follow up next quarter""], ""follow_up_date"": ""next quarter"", ""client_concern"": ""budget""}","{""deal_status"": ""closed_lost"", ""sentiment"": ""neutral"", ""follow_up_date"": ""next quarter"", ""client_concern"": ""budget"", ""action_items"": [""Follow up next quarter""]}"
script_11,slight_noise,script_11_slight_noise.mp3,1,1,1,1,1.0,1.0,"{""deal_status"": ""closed_lost"", ""sentiment"": ""neutral"", ""action_items"": [""Check back in next quarter""], ""follow_up_date"": ""next quarter"", ""client_concern"": ""budget""}","{""deal_status"": ""closed_lost"", ""sentiment"": ""neutral"", ""follow_up_date"": ""next quarter"", ""client_concern"": ""budget"", ""action_items"": [""Follow up next quarter""]}"
script_12,heavy_noise,script_12_heavy_noise.mp3,1,0,1,0,0.5,0.5,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Send pilot agreement""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": ""commitment_risk"", ""action_items"": [""Send pilot agreement document"", ""Wait for director confirmation""]}"
script_12,slight_noise,script_12_slight_noise.mp3,1,0,1,0,0.5,0.5,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Confirm with director"", ""Send pilot agreement""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": ""commitment_risk"", ""action_items"": [""Send pilot agreement document"", ""Wait for director confirmation""]}"
script_13,heavy_noise,script_13_heavy_noise.mp3,1,0,1,0,0.0,0.4,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Pass specific terms like KFZ Zulassum or Raman Vrtrag to ASR team for improvement""], ""follow_up_date"": null, ""client_concern"": ""technical_issue""}","{""deal_status"": ""in_progress"", ""sentiment"": ""mixed"", ""follow_up_date"": null, ""client_concern"": ""asr_quality"", ""action_items"": [""Report unrecognized terms to ASR team: KFZ-Zulassung, Rahmenvertrag""]}"
script_13,slight_noise,script_13_slight_noise.mp3,1,0,1,0,1.0,0.6,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Pass specific terms to ASR team, e.g., KFZ Zulassung, Ramanvertrag""], ""follow_up_date"": null, ""client_concern"": ""technical_issue""}","{""deal_status"": ""in_progress"", ""sentiment"": ""mixed"", ""follow_up_date"": null, ""client_concern"": ""asr_quality"", ""action_items"": [""Report unrecognized terms to ASR team: KFZ-Zulassung, Rahmenvertrag""]}"
script_14,heavy_noise,script_14_heavy_noise.mp3,1,0,1,1,1.0,0.8,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Send details of multi-site enterprise plan"", ""Loop in procurement team""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": null, ""action_items"": [""Send enterprise plan details"", ""Loop in procurement team""]}"
script_14,slight_noise,script_14_slight_noise.mp3,1,0,1,1,0.5,0.7,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Send details of multi-site enterprise plan""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": null, ""action_items"": [""Send enterprise plan details"", ""Loop in procurement team""]}"
script_15,heavy_noise,script_15_heavy_noise.mp3,1,0,1,0,1.0,0.6,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Set up technical call with engineer""], ""follow_up_date"": null, ""client_concern"": ""technical_issue""}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": ""integration"", ""action_items"": [""Schedule technical call with engineer about HubSpot integration""]}"
script_15,slight_noise,script_15_slight_noise.mp3,1,0,1,0,1.0,0.6,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Set up technical call with engineer""], ""follow_up_date"": null, ""client_concern"": ""technical_issue""}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": ""integration"", ""action_items"": [""Schedule technical call with engineer about HubSpot integration""]}"
script_16,heavy_noise,script_16_heavy_noise.mp3,0,1,0,0,0.0,0.2,"{""deal_status"": ""closed_won"", ""sentiment"": ""positive"", ""action_items"": [""Onboard in January instead of Q4"", ""Lock in January 8th as kickoff date""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": ""January 8"", ""client_concern"": ""timing"", ""action_items"": [""Send calendar invite for January 8th onboarding kickoff""]}"
script_16,slight_noise,script_16_slight_noise.mp3,1,1,0,0,1.0,0.6,"{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""action_items"": [""Send calendar invite with January 8th as kickoff date""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": ""January 8"", ""client_concern"": ""timing"", ""action_items"": [""Send calendar invite for January 8th onboarding kickoff""]}"
script_17,heavy_noise,script_17_heavy_noise.mp3,1,0,1,0,0.0,0.4,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Get existing customer in industry for reference call"", ""Follow up by Friday with content""], ""follow_up_date"": ""Friday"", ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": ""Friday"", ""client_concern"": ""trust_validation"", ""action_items"": [""Contact 2 logistics clients about reference call"", ""Respond to client with contact by Friday""]}"
script_17,slight_noise,script_17_slight_noise.mp3,1,1,1,0,0.5,0.7,"{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""action_items"": [""Find logistics client open for reference call"", ""Follow up by Friday""], ""follow_up_date"": ""Friday"", ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": ""Friday"", ""client_concern"": ""trust_validation"", ""action_items"": [""Contact 2 logistics clients about reference call"", ""Respond to client with contact by Friday""]}"
script_18,heavy_noise,script_18_heavy_noise.mp3,0,1,1,0,1.0,0.6,"{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""action_items"": [""Log feature request for exporting summary directly to PDF"", ""Add client to beta list for custom fields in visit report""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""active_customer"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": ""missing_features"", ""action_items"": [""Log PDF export as feature request"", ""Add client to Q2 custom fields beta list""]}"
script_18,slight_noise,script_18_slight_noise.mp3,0,1,1,0,1.0,0.6,"{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""action_items"": [""Export summary to PDF as feature request"", ""Add client to beta list for custom fields in Q2""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""active_customer"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": ""missing_features"", ""action_items"": [""Log PDF export as feature request"", ""Add client to Q2 custom fields beta list""]}"
script_19,heavy_noise,script_19_heavy_noise.mp3,1,1,1,0,1.0,0.8,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Follow up on Friday afternoon"", ""Send one page summary for finance team""], ""follow_up_date"": ""Friday"", ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""follow_up_date"": ""Friday afternoon"", ""client_concern"": ""budget_approval"", ""action_items"": [""Send one-pager summary for finance team"", ""Follow up Friday afternoon after finance meeting""]}"
script_19,slight_noise,script_19_slight_noise.mp3,1,1,1,0,1.0,0.8,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Follow up on Friday afternoon"", ""Send one-page summary to finance team""], ""follow_up_date"": ""Friday afternoon"", ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""follow_up_date"": ""Friday afternoon"", ""client_concern"": ""budget_approval"", ""action_items"": [""Send one-pager summary for finance team"", ""Follow up Friday afternoon after finance meeting""]}"
script_1,heavy_noise,script_1_heavy_noise.mp3,1,1,1,1,1.0,1.0,"{""deal_status"": ""closed_won"", ""sentiment"": ""positive"", ""action_items"": [""Send contract by Thursday"", ""Onboard client by end of month""], ""follow_up_date"": ""Thursday"", ""client_concern"": null}","{""deal_status"": ""closed_won"", ""sentiment"": ""positive"", ""follow_up_date"": ""Thursday"", ""client_concern"": null, ""action_items"": [""Send contract by Thursday"", ""Onboard client by end of month""]}"
script_1,slight_noise,script_1_slight_noise.mp3,1,1,1,1,1.0,1.0,"{""deal_status"": ""closed_won"", ""sentiment"": ""positive"", ""action_items"": [""Send contract by Thursday"", ""Onboard client by end of month""], ""follow_up_date"": ""Thursday"", ""client_concern"": null}","{""deal_status"": ""closed_won"", ""sentiment"": ""positive"", ""follow_up_date"": ""Thursday"", ""client_concern"": null, ""action_items"": [""Send contract by Thursday"", ""Onboard client by end of month""]}"
script_20,heavy_noise,script_20_heavy_noise.mp3,1,0,1,1,1.0,0.8,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Confirm receipt of updated pricing"", ""Schedule meeting on Wednesday""], ""follow_up_date"": ""Wednesday"", ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": ""Wednesday"", ""client_concern"": null, ""action_items"": [""Send meeting link for Wednesday""]}"
script_20,slight_noise,script_20_slight_noise.mp3,1,0,1,1,1.0,0.8,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Confirm updated pricing received"", ""Send meeting link on Wednesday""], ""follow_up_date"": ""Wednesday"", ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": ""Wednesday"", ""client_concern"": null, ""action_items"": [""Send meeting link for Wednesday""]}"
script_2,heavy_noise,script_2_heavy_noise.mp3,1,1,1,1,1.0,1.0,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Check if quarterly discount is possible"", ""Follow up by Wednesday with discount proposal""], ""follow_up_date"": ""Wednesday"", ""client_concern"": ""price""}","{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""follow_up_date"": ""Wednesday"", ""client_concern"": ""price"", ""action_items"": [""Check if quarterly discount is possible"", ""Follow up by Wednesday with discount proposal""]}"
script_2,slight_noise,script_2_slight_noise.mp3,1,1,1,0,1.0,0.8,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Check if quarterly discount is possible"", ""Follow up by Wednesday with discount proposal""], ""follow_up_date"": ""Wednesday"", ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""follow_up_date"": ""Wednesday"", ""client_concern"": ""price"", ""action_items"": [""Check if quarterly discount is possible"", ""Follow up by Wednesday with discount proposal""]}"
script_3,heavy_noise,script_3_heavy_noise.mp3,1,1,1,0,0.0,0.6,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Schedule call for Monday with IT lead"", ""Call on Monday at 10""], ""follow_up_date"": ""Monday"", ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""follow_up_date"": ""Monday 10:00"", ""client_concern"": ""missing_decision_maker"", ""action_items"": [""Reschedule meeting to Monday 10am"", ""Include IT lead in next meeting""]}"
script_3,slight_noise,script_3_slight_noise.mp3,1,1,1,0,0.5,0.7,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Schedule call for Monday at 10""], ""follow_up_date"": ""Monday"", ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""follow_up_date"": ""Monday 10:00"", ""client_concern"": ""missing_decision_maker"", ""action_items"": [""Reschedule meeting to Monday 10am"", ""Include IT lead in next meeting""]}"
script_4,heavy_noise,script_4_heavy_noise.mp3,1,1,1,0,0.0,0.6,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Set up live demo by next Tuesday""], ""follow_up_date"": ""next Tuesday"", ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""follow_up_date"": ""Tuesday"", ""client_concern"": ""competitor"", ""action_items"": [""Schedule live demo for Tuesday""]}"
script_4,slight_noise,script_4_slight_noise.mp3,1,1,1,1,1.0,1.0,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Set up live demo for next Tuesday""], ""follow_up_date"": ""next Tuesday"", ""client_concern"": ""competitor""}","{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""follow_up_date"": ""Tuesday"", ""client_concern"": ""competitor"", ""action_items"": [""Schedule live demo for Tuesday""]}"
script_5,heavy_noise,script_5_heavy_noise.mp3,1,0,0,1,1.0,0.6,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Escalate mobile app crashing issue to technical team"", ""Arrange 30-minute onboarding session for client's team""], ""follow_up_date"": null, ""client_concern"": ""technical_issue""}","{""deal_status"": ""in_progress"", ""sentiment"": ""mixed"", ""follow_up_date"": ""this week"", ""client_concern"": ""technical_issue"", ""action_items"": [""Escalate app crash issue to technical team today"", ""Arrange 30-minute onboarding session this week""]}"
script_5,slight_noise,script_5_slight_noise.mp3,1,0,0,1,1.0,0.6,"{""deal_status"": ""in_progress"", ""sentiment"": ""negative"", ""action_items"": [""Escalate mobile app crashing issue to technical team"", ""Arrange 30 minute onboarding session for client's team this week""], ""follow_up_date"": null, ""client_concern"": ""technical_issue""}","{""deal_status"": ""in_progress"", ""sentiment"": ""mixed"", ""follow_up_date"": ""this week"", ""client_concern"": ""technical_issue"", ""action_items"": [""Escalate app crash issue to technical team today"", ""Arrange 30-minute onboarding session this week""]}"
script_6,heavy_noise,script_6_heavy_noise.mp3,1,1,1,1,1.0,1.0,"{""deal_status"": ""new_lead"", ""sentiment"": ""positive"", ""action_items"": [""Send materials to mhoffman at bauergruppe.de""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""new_lead"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": null, ""action_items"": [""Send product materials to m.hoffman@bauer-gruppe.de""]}"
script_6,slight_noise,script_6_slight_noise.mp3,1,0,1,1,1.0,0.8,"{""deal_status"": ""new_lead"", ""sentiment"": ""neutral"", ""action_items"": [""Send materials to mhoffman at bauergrupper.de""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""new_lead"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": null, ""action_items"": [""Send product materials to m.hoffman@bauer-gruppe.de""]}"
script_7,heavy_noise,script_7_heavy_noise.mp3,0,1,1,0,0.5,0.5,"{""deal_status"": ""upsell"", ""sentiment"": ""positive"", ""action_items"": [""Add two more user seats to renewal quota"", ""Include 15% warranty for two-year renewals in quota""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""renewal"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": ""pricing"", ""action_items"": [""Add 2 extra seats to renewal quote"", ""Send 1-year and 2-year renewal options with loyalty discount""]}"
script_7,slight_noise,script_7_slight_noise.mp3,0,1,1,1,0.5,0.7,"{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""action_items"": [""Add user seats to renewal quote"", ""Include loyalty discount of 15% for two-year renewals""], ""follow_up_date"": null, ""client_concern"": ""pricing""}","{""deal_status"": ""renewal"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": ""pricing"", ""action_items"": [""Add 2 extra seats to renewal quote"", ""Send 1-year and 2-year renewal options with loyalty discount""]}"
script_8,heavy_noise,script_8_heavy_noise.mp3,1,1,1,1,0.5,0.9,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Send compliance documentation"", ""Follow up on ISO certification""], ""follow_up_date"": null, ""client_concern"": ""gdpr_compliance""}","{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""follow_up_date"": null, ""client_concern"": ""gdpr_compliance"", ""action_items"": [""Send GDPR compliance documentation"", ""Share current ISO 27001 status""]}"
script_8,slight_noise,script_8_slight_noise.mp3,1,1,1,1,0.5,0.9,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Send compliance documentation"", ""Provide ISO 27001 certificate when available""], ""follow_up_date"": null, ""client_concern"": ""gdpr_compliance""}","{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""follow_up_date"": null, ""client_concern"": ""gdpr_compliance"", ""action_items"": [""Send GDPR compliance documentation"", ""Share current ISO 27001 status""]}"
script_9,heavy_noise,script_9_heavy_noise.mp3,0,1,1,1,1.0,0.8,"{""deal_status"": ""in_progress"", ""sentiment"": ""negative"", ""action_items"": [""Send updated SLA with uptime guarantees""], ""follow_up_date"": ""end of week"", ""client_concern"": ""reliability""}","{""deal_status"": ""at_risk"", ""sentiment"": ""negative"", ""follow_up_date"": ""end of week"", ""client_concern"": ""reliability"", ""action_items"": [""Send updated SLA with uptime guarantees by end of week""]}"
